time,open,high,low,close,tick_volume,spread,real_volume
2025-06-27 09:10:00,144.487,144.49,144.317,144.324,775,0,0
2025-06-27 09:20:00,144.325,144.367,144.28,144.34,633,0,0
2025-06-27 09:30:00,144.342,144.375,144.268,144.34,795,0,0
2025-06-27 09:40:00,144.342,144.355,144.25,144.28,916,0,0
2025-06-27 09:50:00,144.281,144.288,144.204,144.238,1041,0,0
2025-06-27 10:00:00,144.237,144.316,144.176,144.292,1425,0,0
2025-06-27 10:10:00,144.292,144.431,144.245,144.428,1001,0,0
2025-06-27 10:20:00,144.428,144.552,144.406,144.487,854,0,0
2025-06-27 10:30:00,144.487,144.519,144.384,144.411,723,0,0
2025-06-27 10:40:00,144.41,144.527,144.387,144.5,712,0,0
2025-06-27 10:50:00,144.5,144.53,144.448,144.48,978,0,0
2025-06-27 11:00:00,144.477,144.513,144.367,144.368,894,0,0
2025-06-27 11:10:00,144.37,144.392,144.293,144.314,699,0,0
2025-06-27 11:20:00,144.314,144.377,144.291,144.364,787,0,0
2025-06-27 11:30:00,144.364,144.409,144.316,144.36,648,0,0
2025-06-27 11:40:00,144.36,144.387,144.259,144.26,493,0,0
2025-06-27 11:50:00,144.26,144.432,144.257,144.421,525,0,0
2025-06-27 12:00:00,144.421,144.455,144.369,144.391,588,0,0
2025-06-27 12:10:00,144.39,144.414,144.368,144.39,472,0,0
2025-06-27 12:20:00,144.39,144.408,144.348,144.374,534,0,0
2025-06-27 12:30:00,144.375,144.405,144.371,144.38,506,0,0
2025-06-27 12:40:00,144.38,144.458,144.375,144.439,428,0,0
2025-06-27 12:50:00,144.439,144.489,144.384,144.484,652,0,0
2025-06-27 13:00:00,144.485,144.535,144.458,144.5,721,0,0
2025-06-27 13:10:00,144.501,144.607,144.49,144.584,550,0,0
2025-06-27 13:20:00,144.584,144.631,144.575,144.629,523,0,0
2025-06-27 13:30:00,144.629,144.68,144.588,144.608,604,0,0
2025-06-27 13:40:00,144.608,144.659,144.59,144.611,421,0,0
2025-06-27 13:50:00,144.612,144.629,144.521,144.535,576,1,0
2025-06-27 14:00:00,144.536,144.553,144.49,144.519,705,0,0
2025-06-27 14:10:00,144.519,144.572,144.519,144.537,395,0,0
2025-06-27 14:20:00,144.536,144.59,144.519,144.543,404,1,0
2025-06-27 14:30:00,144.543,144.629,144.517,144.583,619,0,0
2025-06-27 14:40:00,144.583,144.614,144.564,144.606,487,0,0
2025-06-27 14:50:00,144.606,144.614,144.487,144.492,889,0,0
2025-06-27 15:00:00,144.489,144.606,144.48,144.606,966,0,0
2025-06-27 15:10:00,144.606,144.624,144.549,144.567,1180,0,0
2025-06-27 15:20:00,144.565,144.594,144.497,144.531,823,0,0
2025-06-27 15:30:00,144.531,144.607,144.363,144.394,1989,0,0
2025-06-27 15:40:00,144.397,144.491,144.361,144.421,1395,0,0
2025-06-27 15:50:00,144.421,144.452,144.362,144.446,1633,0,0
2025-06-27 16:00:00,144.446,144.566,144.375,144.551,2045,0,0
2025-06-27 16:10:00,144.551,144.609,144.542,144.556,1390,0,0
2025-06-27 16:20:00,144.557,144.745,144.545,144.739,1633,0,0
2025-06-27 16:30:00,144.739,144.803,144.704,144.736,1702,0,0
2025-06-27 16:40:00,144.737,144.763,144.622,144.631,961,0,0
2025-06-27 16:50:00,144.631,144.739,144.625,144.724,871,0,0
2025-06-27 17:00:00,144.724,144.773,144.568,144.581,1098,0,0
2025-06-27 17:10:00,144.581,144.66,144.573,144.625,978,0,0
2025-06-27 17:20:00,144.624,144.721,144.618,144.709,812,0,0
2025-06-27 17:30:00,144.707,144.911,144.683,144.844,1311,0,0
2025-06-27 17:40:00,144.845,144.933,144.793,144.901,1741,0,0
2025-06-27 17:50:00,144.901,144.944,144.83,144.881,1662,0,0
2025-06-27 18:00:00,144.881,144.91,144.78,144.784,1619,0,0
2025-06-27 18:10:00,144.784,144.787,144.716,144.729,847,0,0
